ADR;Independents Occupancy;Independents RevPAR;Chain Occupancy;Chain RevPAR
-22,5;2,58;-18,08;6,36;-16,47
-12,5;0,75;-11,62;3,6;-9,17
-7,5;0,8;-6,7;2,32;-5,24
-3,5;1;-2,53;2,18;-1,38
-1;0,13;-0,83;1,77;0,77
1;-0,13;0,89;1,56;2,6
3,5;-0,14;3,25;1,69;5,24
7,5;-1,37;5,83;0,83;8,19
12,5;-4,96;6,71;-0,67;11,46
22,5;-3,87;16,01;-3,39;15,92
